English (Revised)	Spanish (Revised)
1 . TUTORIAL	-----------------------------------------------
Welcome to Med Pets!	¡Bienvenidos a Med Pets!
My name is Doctor Dog or Doctor D for short!	¡Me llamo Doctor Dog o Doctor D para abreviar!
Both me and your new furry friend are excited to meet you!	¡Tanto yo como tu nuevo amigo peludo estamos emocionados de conocerte!
Let’s give your pet a name!	¡Démosle un nombre a tu mascota!
Input your pet's name:	Introduce el nombre de su nueva mascota
Enter text...	Insertar texto...
Wow that suits them so well! I think Fido likes it too. 	¡Vaya ese nombre le queda bien! Yo creo que a Fido le gusta tambien.
Fido has recently been diagnosed with diabetes and they need your help to figure out what to do.	Recientemente Fido ha sido diagnosticado con diabetes y necesita de tu ayuda para averiguar que hacer.
Diabetes can be overwhelming, but managing it is important.	La diabetes puede ser abrumadora, pero es importante saber como controlarla.
And you don’t have to do it alone! 	¡Y no lo tienes que hacer solo!
Your healthcare providers and I are here to support you!	¡Tu proveedor de salud y yo estamos aqui para ayudarte!
Let's get started by looking at your diabetes medications. 	Comenzemos primero mirando tus medicamentos para la diabetes. 
How to Find the Medication Name: 	Como encontrar el nombre de tu medicamento
Locate your perscription bottle	Localiza tu botella de prescripción
What medication(s) are you taking?	Que medicinas esta tomando?
Oh wow! Fido is taking those medications too!	¡Vaya, Fido esta tomando esas mismas medicinas!
Next, what dosage of medication are you taking?	A continuación, ¿qué dosis de medicamento está tomando?
How to Find the Dose	Como encontrar la dosis
Locate your prescription label	Localize la etiqueta de su prescripción
Please Insert Your Recommended Dosage:	Por favor ponga la dosis recomendada.
Enter text...	Insertar texto
Excellent! But diabetes also invovles diet.	¡Excelente! Pero la diabetes tambien incluye dieta. 
Ask you doctor for the amount of carbs and sugars you should have per day.	Preguntele a su doctor por la cantidad de carbohidratos y azucar que deberia de consumir al dia.
Remember to reach out to your doctor if you ever have questions about your diabetes.	Acuerdese de llamar a su doctor si tiene alguna pregunta sobre su diabetes. 
Oh no! Fido has really high blood sugar. 	¡Oh no! Fido tiene el azucar alta!
Play the matching game to give your pet some exercise, gather medicine, and food!	 ¡Juguemos el juego de combinaciones para que tu mascota haga algo de ejercicio, recolecte medicinas y comida!
2 . GAME WORDS	-----------------------------------------------
Go!	¡Vamos!
Collected:	Recolectado:
Finish!	¡Terminado!
Pause	Pausa
Quit?	¿Salir?
Score	Puntaje
Items Gathered	Articulos recolectados
Guidebook	Manual
3 . PROGRESSION	-----------------------------------------------
Make a match of three to collect items!	¡Haga una combinacion de tres articulos similares para recolectarlos!
Make sure your blood sugar levels aren't too low! Eating carbs or sugars, like bread or fruit, can help quickly raise your blood sugar. 	¡Asegúrese de que sus niveles de azúcar en la sangre no esten demasiado bajos! Comiendo carbohidratos o azúcares, como pan o fruta, puede ayudar a aumentar rápidamente el nivel de azúcar en la sangre.
Fibers, protiens, and healthy fats all help to stablize your blood sugar. Collect some in pairs of three to see!	Las fibras, las proteínas y las grasas saludables ayudan a estabilizar el nivel de azúcar en la sangre. ¡Colecciona algunos en pares de tres para que vea!
4 . MEDICATION BOTTLE	-----------------------------------------------
MedPets Pharmacy	Farmacia
Patient Name	Nombre del Paciente
Medication Name	nombre del medicamento
Dosage	Dosis
Instructions	Instrucciones
Take 1 Tab By Mouth Daily	Tomar las pastilla oral una vez al dia. 
4 . GUIDEBOOK	-----------------------------------------------
General	General
How This Effects Your Pet	Como esto afecta a tu mascota
Take At This Time	Tome a este tiempo
Take This Amount	Tome este
Combinations	Combinaciones
	
Insulin helps disperse glucose and lower your blood sugar levels!	Insulina ayuda a dispersar la glucosa y a reducir el nivel de azucar en la sangre. 
If your pet has eaten a lot of sugars or carbs, this can help lower their blood sugar levels back down.	Si tu mascota a consumido mucho azucar o carbohidratos, esto puede ayudar a reducir los niveles de azucar en la sangre.
BLANK helps lower your blood sugar levels!	BLANK ayudar a reducir el nivel de azucar en la sangre!
If your pet has eaten a lot of sugars or carbs, this can help lower their blood sugar levels back down.	Si tu mascota a consumido mucho azucar o carbohidratos, esto puede ayudar a reducir los niveles de azucar en la sangre.
