English	Spanish
1 . TUTORIAL	-----------------------------------------------
Welcome to Med Pets!	¡Bienvenido a Med Pets!
My name is Doctor Dog, or Doctor D for short!	¡Me llamo Doctor Dog, o Doctor D para abreviar!
Both me and your new furry friend are excited to meet you!	¡Tanto yo como tu nuevo amigo peludo estamos emocionados de conocerte!
Before we start, let’s give your pet a name!	Antes de comenzar, ¡démosle un nombre a tu mascota!
Input your new pet's name:	Introduce el nombre de su nueva mascota
Enter text...	Introduce texto
Wow that suits them so well! I think your pet likes it too. 	¡Vaya, le queda muy bien! Creo que a tu mascota le gusta tambien.
PET NAME has recently been diagnosed with diabetes and it needs your help to figure out what to do.	PET NAME ha sido diagnosticado recientemente con diabetes y necesita de tu ayuda para averiguar que hacer.
What medication to take? When to take it? How to take it? 	¿Qué medicamento tomar? ¿Cuándo tomarla? ¿Cómo debe tomarla?
 It can all be overwhelming and time consuming. 	Todo puede ser agobiante y toma tiempo de aprender.
And even those who manage their diabetes well need assistance!	Incluso aquellos que manejan bien su diabetes necesitan ayuda.
Afterall, you could always take new medications, make lifestyle changes, or just brush up on your knowledge.	Después de todo, siempre puede tomar nuevos medicamentos, hacer cambios en su vida, o simplemente repasar su conocimiento.
Together, we can figure it all out! PET NAME is eager to learn! 	¡ Juntos podemos resolverlo! ¡ PET NAME esta ansioso por aprender!
To start, PET NAME doesn’t remember what medication they’re supposed to take. 	Para empezar, PET NAME  no se acuerda que medicamentos debe tomar.
Maybe if you share your medications, your pet will recognize some! 	¡ Quizás si nos compartes tus medicamentos, tu mascota puede reconocer algunos!
How to Find the Name of Your Medication	Como econtrar el nombre de su medicamento
Locate your perscription bottle	Localiza tu botella de prescripción
How to Find the Name of Your Medication	Como encontrar el nombre de su medicamento
Find the label indicating the name of your medication	Encuentra la etiqueta que indica el nombre de tu medicamento.
What medication(s) are you taking?	¿Qué medicamento(s) estás tomando?
Thanks! Hey, do any of those sound familiar?  	¡Gracias! Oye, ¿alguno de esos te suena familiar?
Oh wow! PET NAME is actually taking those medications too!	¡Vaya! ¡ PET NAME también está tomando esos medicamentos!
Next, your friend is confused on how much medication they should be taking.	Siguientemente, tu amigo esta confundido en cuanta medicina necesita estar tomando.
Again, could you help them figure out where to find that information?	De nuevo, ¿podrías ayudarle a encontrar esa información?
How to Find the Dose	Como encontrar la Dosis
Locate your prescription label	Localize la etiqueta de su prescripción
How to Find the Dose	Como encontrar la Dosis
Find the label indicating the dosage of your medication	Encuentra la etiqueta que indica la dosis de tu medicamento.
Please Insert Your Recommended Dosage:	Por favor ponga la dosis recomendada.
Enter text...	Inserte texto
Excellent! We're already feeling a little more confident.	¡Excelente! Ya nos sentimos un poco más seguros.
Finally, PET NAME knows diabetes comes with more than just medication! It also involves diet!	Finalmente, PET NAME sabe que la diabetes conlleva más que solo medicamentos. ¡También implica dieta!
They want to watch their carbs, but isn’t sure where’s a good place to start.	Quiere controlar sus carbohidratos, pero no está seguro por dónde empezar.
Did your doctor tell you how many carbs you should eat per meal?	¿ Le ha dicho su doctor cuántos carbohidratos deberia comer por comida?
PET NAME will take after you!	¡PET NAME tomará ejemplo de ti!
If you’re not sure, ask your doctor!	Si no estás seguro, ¡preguntele a su médico!
Enter your recommened amount of carbs:	Inserte la cantidad de carbohidratos recomendada
Enter text...	Inserte texto
Great! We'll be sure to keep that in mind!	¡Genial! ¡Lo tendremos en cuenta!
Oh, what’s that? You need help right now? 	Oh, ¿qué es eso? ¿Necesitas ayuda ahora mismo?
Never be afraid to ask! Let’s see what’s wrong with PET NAME.	¡Nunca tengas miedo de preguntar! Veamos qué le pasa a PET NAME.
Oh No! That's not good! Lets go for a walk to get some food, medicine, and good ol' excercise!	¡Oh no! ¡Eso no es bueno! ¡Vamos a dar un paseo para conseguir algo de comida, medicinas y un buen ejercicio!
2 . GAME WORDS	-----------------------------------------------
Go!	¡Vamos!
Collected:	Recolectado:
Finish!	¡Terminado!
Pause	Pausa
Quit?	¿Salir?
Score	Puntaje
Items Gathered	Articulos recolectados
Guidebook	Manual
	
	
PET NAME	PET NAME
	
Progression Text 1	Progression Text 1
Progression Text 2	Progression Text 2
Progression Text 3	Progression Text 3
Progression Text 4	Progression Text 4
